family,motor,ratio,outside_pct,worst_excess_module_Nm
hip,RS01_36V,1.0,0.39701512409748657,6.5
hip,RS01_36V,1.5,0.0006052059818559246,1.3483778586076287
hip,RS01_36V,1.6,0.0006052059818559246,1.0155130936465895
hip,RS01_36V,1.75,0.001815617945567774,1.4393890941626588
hip,RS01_36V,2.0,0.0024208239274236985,3.262180529142681
hip,RS01_36V,2.25,0.0030260299092796233,3.509354431876748
hip,RS01_36V,2.5,0.004236441872991473,5.905978829105641
hip,RS02_48V,1.0,0.39701512409748657,6.5
hip,RS02_48V,1.5,0.0,0.0
hip,RS02_48V,1.6,0.0,0.0
hip,RS02_48V,1.75,0.0,0.0
hip,RS02_48V,2.0,0.0,0.0
hip,RS02_48V,2.25,0.0,0.0
hip,RS02_48V,2.5,0.0012104119637118493,2.6097444233141447
thigh,RS01_36V,1.0,1.2393225988868717,19.190328402413115
thigh,RS01_36V,1.5,0.026786511503318552,16.491228070175442
thigh,RS01_36V,1.6,0.027977023125688266,15.460526315789474
thigh,RS01_36V,1.75,0.027977023125688266,14.135338345864662
thigh,RS01_36V,2.0,0.029762790559242833,12.368421052631579
thigh,RS01_36V,2.25,0.036905860293461115,10.994152046783627
thigh,RS01_36V,2.5,0.048810976517158246,9.894736842105264
thigh,RS02_48V,1.0,1.2363463198309474,9.231503897816438
thigh,RS02_48V,1.5,0.009524092978957708,15.569506193462175
thigh,RS02_48V,1.6,0.010119348790142564,14.596412056370788
thigh,RS02_48V,1.75,0.01250037203488199,13.345291022967578
thigh,RS02_48V,2.0,0.02023869758028513,12.368421052631579
thigh,RS02_48V,2.25,0.022024465013839697,10.994152046783627
thigh,RS02_48V,2.5,0.022619720825024555,9.894736842105264
calf,RS01_36V,1.0,11.550774212079276,10.154179426148243
calf,RS01_36V,1.5,0.24336109878058335,13.492075538919927
calf,RS01_36V,1.6,0.2673838681881087,15.460526315789474
calf,RS01_36V,1.75,0.3190850458260438,14.135338345864662
calf,RS01_36V,2.0,0.464266130506306,12.368421052631579
calf,RS01_36V,2.25,0.6277254093009896,10.994152046783627
calf,RS01_36V,2.5,0.850197143379377,9.894736842105264
calf,RS02_48V,1.0,11.516828994438207,6.5
calf,RS02_48V,1.5,0.023500535289970495,3.532414437099252
calf,RS02_48V,1.6,0.03028957881818419,3.945328607266985
calf,RS02_48V,1.75,0.041778729404391986,4.798082441827349
calf,RS02_48V,2.0,0.08303522469122908,8.069897107794683
calf,RS02_48V,2.25,0.16345927879468367,10.994152046783627
calf,RS02_48V,2.5,0.2632059952476695,9.894736842105264
